X,Y
0,30903
1,30660
2,25747
3,30930
4,30692
5,30519
6,30419
7,30323
8,30212
9,30129
10,30019
11,29951
12,29847
13,29749
14,29662
15,29520
16,29456
17,29441
18,29365
19,29278
20,29183
21,29064
22,28978
23,28937
24,28848
25,28810
26,28856
27,29078
28,29938
29,29956
30,29774
31,29700
32,29373
33,28966
34,28357
35,27804
36,27319
37,26785
38,26388
39,26110
40,25961
41,25787
42,25515
43,25129
44,24797
45,24495
46,24266
47,24070
48,23775
49,23449
50,23131
51,22788
52,22502
53,22240
54,21990
55,21783
56,21520
57,21249
58,21014
59,20759
60,20524
61,20299
62,20025
63,19792
64,19535
65,19293
66,19065
67,18815
68,18621
69,18422
70,18208
71,18038
72,17809
73,17623
74,17436
75,17216
76,17054
77,16860
78,16678
79,16511
80,16312
81,16153
82,15972
83,15798
84,15665
85,15516
86,15355
87,15214
88,15049
89,14908
90,14812
91,14639
92,14502
93,14375
94,14212
95,14091
96,13976
97,13828
98,13715
99,13578
