X,Y
0,6985
1,571
2,843
3,5918
4,12337
5,9124
6,3102
7,-882
8,3695
9,7985
10,8189
11,2839
12,-479
13,1877
14,5599
15,6461
16,2896
17,-357
18,851
19,4473
20,6281
21,3869
22,1062
23,2051
24,4514
25,5635
26,3783
27,539
28,492
29,2638
30,4181
31,3632
32,1874
33,1074
34,2455
35,4309
36,4824
37,3543
38,2139
39,2288
40,3286
41,3841
42,3032
43,1868
44,1801
45,2766
46,3580
47,3470
48,2749
49,2008
50,2093
51,2679
52,3292
53,3316
54,2707
55,2295
56,2348
57,2962
58,3349
59,3052
60,2455
61,2139
62,2579
63,3243
64,3437
65,2990
66,2650
67,2812
68,3344
69,3576
70,3091
71,2521
72,2271
73,2459
74,2589
75,2362
76,2254
77,2481
78,2842
79,2959
80,2861
81,2762
82,3008
83,3388
84,3189
85,2864
86,2368
87,2425
88,2723
89,2785
90,2737
91,2553
92,2752
93,3075
94,3299
95,3174
96,2913
97,2732
98,2663
99,2804
100,2585
101,2424
102,2250
103,2230
104,2508
105,2571
106,2787
107,2850
108,2917
109,3169
110,3218
111,3419
112,3235
113,2992
114,2886
115,2518
116,2573
117,2447
118,2439
119,2526
120,2744
121,2993
122,3062
123,3102
124,2813
125,2769
126,2642
127,2572
128,2461
129,2294
130,2359
131,2501
132,2768
133,2745
134,2928
135,3027
136,3344
137,3522
138,3250
139,2890
140,2460
141,2548
142,2613
143,2715
144,2346
145,2228
146,2481
147,2870
148,3153
149,3080
150,2860
151,2594
152,2695
153,2793
154,2846
155,2654
156,2294
157,2419
158,2559
159,2937
160,3057
161,2919
162,3014
163,3034
164,3245
165,3119
166,2936
167,2599
168,2507
169,2451
170,2423
171,2524
172,2469
173,2553
174,2578
175,2639
176,2830
177,2970
178,3035
179,2876
180,2680
181,2711
182,2943
183,3051
184,2877
185,2517
186,2314
187,2731
188,3239
189,3262
190,2838
191,2398
192,2508
193,3001
194,3143
195,2539
196,2163
197,2242
198,2711
199,2983
200,2800
201,2446
202,2444
203,2737
204,3095
205,3077
206,2709
207,2670
208,2810
209,3139
210,3172
211,2899
212,2694
213,2658
214,2798
215,2878
216,2638
217,2487
218,2448
219,2638
220,2933
221,2921
222,2837
223,2638
224,2593
225,2702
226,2792
227,2730
228,2639
229,2594
230,2700
231,2921
232,2933
233,2912
234,2821
235,2869
236,3116
237,3025
238,2955
239,2769
240,2755
241,2864
242,2701
243,2532
244,2355
245,2318
246,2603
247,2742
248,2836
249,2736
250,2751
251,2940
252,3134
253,3055
254,2724
255,2467
256,2509
257,2752
258,2813
259,2758
260,2688
261,2636
262,2956
263,3158
264,3225
265,3017
266,2664
267,2753
268,2760
269,2830
270,2588
271,2203
272,2191
273,2508
274,2904
275,2873
276,2772
277,2629
278,2956
279,3230
280,3082
281,2764
282,2507
283,2762
284,2944
285,2943
286,2440
287,2389
288,2693
289,3087
290,3158
291,2821
292,2569
293,2549
294,2877
295,2782
296,2626
297,2310
298,2260
299,2471
300,2649
301,2934
302,2838
303,2894
304,2969
305,3051
306,2980
307,2888
308,2928
309,2747
310,2713
311,2561
312,2529
313,2801
314,2818
315,2778
316,2580
317,2689
318,2845
319,2839
320,2834
321,2608
322,2483
323,2612
324,2822
325,2922
326,2704
327,2537
328,2513
329,2830
330,2971
331,2990
332,2841
333,2674
334,2961
335,3080
336,3105
337,2832
338,2521
339,2655
340,2784
341,2843
342,2589
343,2231
344,2344
345,2521
346,2943
347,3025
348,2733
349,2774
350,2803
351,2925
352,2859
353,2814
354,2737
355,2786
356,2855
357,2779
358,2587
359,2584
360,2673
361,2874
362,3026
363,2848
364,2688
365,2554
366,2691
367,2891
368,2846
369,2639
370,2462
371,2345
372,2567
373,2880
374,3021
375,2828
376,2527
377,2518
378,2916
379,3201
380,3240
381,2893
382,2425
383,2488
384,2862
385,3191
386,2948
387,2358
388,2178
389,2564
390,3045
391,3107
392,2676
393,2288
394,2549
395,3018
396,3169
397,2967
398,2481
399,2411
400,2559
401,2824
402,2977
403,2808
404,2742
405,2822
406,2970
407,3040
408,2971
409,2823
410,2763
411,2708
412,2606
413,2608
414,2496
415,2608
416,2686
417,2693
418,2775
419,2591
420,2656
421,2850
422,2989
423,3061
424,2774
425,2567
426,2549
427,2854
428,2988
429,2868
430,2515
431,2604
432,2911
433,3065
434,2978
435,2794
436,2795
437,2653
438,2653
439,2517
440,2448
441,2565
442,2537
443,2780
444,2701
445,2645
446,2858
447,2913
448,3137
449,2895
450,2688
451,2623
452,2628
453,2954
454,2927
455,2765
456,2618
457,2714
458,3087
459,3155
460,2868
461,2365
462,2505
463,2680
464,2938
465,2703
466,2417
467,2431
468,2724
469,2969
470,2825
471,2650
472,2478
473,2831
474,3172
475,3101
476,2936
477,2491
478,2515
479,2726
480,2877
481,2954
482,2724
483,2736
484,2769
485,2900
486,2834
487,2560
488,2595
489,2641
490,2958
491,2817
492,2804
493,2633
494,2371
495,2558
496,2560
497,2772
498,2702
499,2983
